,weight_shap_0_mean,weight_shap_0_std,weight_grad_0_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
ITGA6,0.00010646446500928001,0.00012620978180284876,1.59126455e-05,15,3.609462953121905e-09,1.4528659669267936,True,False,False,True,False
BTK,7.702351615927199e-05,6.631553527762903e-05,-3.7319896499999995e-05,15,0.0016095248497862,0.8038147160419249,True,False,False,False,False
CXCR3,9.041939109288299e-05,0.00011566634348796882,-6.826936559999999e-05,14,0.0007436426626895,0.6594240815601308,True,False,False,False,False
NR2F1,7.5994991230148e-05,0.00016577193478585584,1.4104302399999998e-05,13,9.949127444404357e-06,0.7230547149301071,True,False,False,False,True
CIITA,8.9747706132791e-05,0.00014941723743573654,-3.46626443e-05,13,4.138344108455461e-07,0.7741078563202204,True,False,False,False,False
SNAI2,8.0362123465048e-05,0.00019041782366079264,8.5178789e-06,13,5.334821376791423e-07,1.47150777861028,True,False,False,True,True
ADGRF5,0.000105507602762327,0.00020020037392944756,-8.719153500000002e-06,12,1.1130099249586224e-05,0.749281561930602,True,False,False,True,False
ZBTB16,7.8940865607111e-05,9.167633309753363e-05,2.8301293800000003e-05,12,0.0001310036345363,0.4750694582706397,True,False,False,False,True
FXYD3,0.00011317267958847502,8.586599493308386e-05,5.18785329e-05,12,3.7967313912406946e-08,1.4375485548215097,True,False,False,True,False
CD8A,7.621733173353301e-05,0.00011446054906637516,-4.10997087e-05,11,0.0205859835156413,0.8205794735777561,True,False,False,False,False
BATF,4.8129569601931e-05,5.3402656344411886e-05,-4.836475150000001e-05,11,7.608993291334454e-05,0.7421377915828952,True,False,False,False,True
PERP,8.1681324129864e-05,0.00011958055795150926,2.12578108e-05,11,2.140698889581249e-10,1.3489978007401735,True,False,False,True,False
ONECUT1,8.2805516606619e-05,9.429826808299853e-05,6.98977883e-05,11,0.001073442166974,0.3347529858175334,True,False,False,True,True
JAG1,9.3319317086526e-05,0.00019671243867147613,5.85231093e-05,11,2.684980851854065e-09,1.3808207770653615,True,False,False,True,False
CAV1,6.792768727049899e-05,5.7100313907207606e-05,-9.871756200000004e-06,11,0.0009256940763316,1.2119656745511649,True,False,False,False,False
CBX2,5.9628062002264e-05,0.00015115638652872981,-1.01890041e-05,10,0.0012504999930663,1.218867534387896,True,False,False,False,True
ITGAL,5.867674077214299e-05,0.00015080271729352277,-3.9875990799999994e-05,10,0.0005200702804946,0.8009549491994271,True,False,False,False,False
SFN,7.8573905120571e-05,7.528561165763965e-05,2.1763460299999998e-05,10,2.6849628775262773e-08,1.3074986768678225,True,False,False,True,False
TBX21,7.5943208466266e-05,0.0001525742173105065,-6.515747760000001e-05,10,0.0011001860300204,0.5856400549930801,True,False,False,False,True
UBASH3A,7.537093657109599e-05,0.0001817445968071064,-6.046440309999999e-05,10,0.0101480350714455,0.7135439775356428,True,False,False,False,False
DLGAP5,7.2528546272808e-05,0.00013104634868245574,3.6874539699999995e-05,10,0.0029600853017872,1.2537671501404926,True,False,False,False,False
APBB1IP,5.731566319006501e-05,6.847356593716559e-05,-3.5747960299999996e-05,10,9.794827501585536e-05,0.763155621947773,True,False,False,False,False
DEPDC1,7.6578842874216e-05,0.00016235405892176,4.1508438500000006e-05,10,0.000650996741427,1.3549406307895122,True,False,False,False,False
SLC22A31,0.000125063938145378,0.00016127950480616178,-4.242202559999999e-05,10,4.665995057656246e-08,0.4486810131953456,True,False,False,False,False
AKR1C3,0.000118057936294993,0.00018664693838649086,1.67726151e-05,10,0.0455578001981902,1.2846180718534228,True,False,False,False,False
ADGRG5,7.5151495254935e-05,0.0002592941627265888,-3.35025296e-05,10,0.0048953554890354,0.7262427433012965,True,False,False,False,False
DENND2C,0.000106899597653493,0.00018094429233379887,6.73131869e-05,10,3.429160633364429e-10,2.077782226143836,True,False,False,False,False
TTK,6.6274823270701e-05,0.00012322579076805488,4.020109e-05,10,7.497590611810045e-06,1.45320807987184,True,False,False,False,False
KIF14,5.4594399527445e-05,7.371829557073126e-05,2.76806763e-05,9,0.0001949659284385,1.3299476067337233,True,False,False,False,False
CD3G,5.9626155626763e-05,9.387899706856597e-05,-5.6356857199999995e-05,9,0.0068418212773949,0.7374317815398135,True,False,False,False,False
IRF7,0.00012701893849735398,0.00016347423893929547,-6.339933120000001e-05,9,0.0144886053087066,0.6881356573060743,True,False,False,False,True
IRF8,3.8646297864314996e-05,6.994731327347812e-05,-3.505375170000001e-05,9,0.0022361159745139,0.830493439980905,True,False,False,False,True
DDAH1,6.0541853853419e-05,7.603714670081956e-05,-1.63284e-05,8,7.774952636209425e-07,0.7023995178459798,True,False,False,False,False
RFC4,5.1710977027016005e-05,9.362351257936382e-05,3.49707447e-05,8,0.0004749328479686,1.2200700298918643,True,False,False,False,False
JARID2,3.481239111800301e-05,3.598766461855082e-05,1.5990305600000002e-05,8,1.5909385738412083e-09,1.2065338838319488,True,False,False,False,False
NDC80,5.9860871868205005e-05,8.609528208404614e-05,1.0572850099999998e-05,8,0.0082011899465131,1.226340222734812,True,False,False,False,False
