,weight_shap_total_mean,weight_shap_total_std,weight_grad_total_dir_mean,counts,p_value,fold_change,is_deg,is_extra,is_prior_driver,is_target,is_tf
JARID2,3.5839552945027e-05,3.966243490372176e-05,1.72256365e-05,8,1.5909385738412083e-09,1.2065338838319488,True,False,False,False,False
SASH3,4.276179747727e-05,7.040738279635056e-05,-2.0445894600000003e-05,8,0.0013610112535406,0.811502123556028,True,False,False,False,False
PLCB2,4.5676668661835e-05,3.402479513209598e-05,-2.1828250200000002e-05,8,3.415501966288355e-07,0.7949906299609982,True,False,False,False,False
CAV1,4.9490900516091006e-05,8.711280327941754e-05,7.4344478e-06,8,0.0009256940763316,1.2119656745511649,True,False,False,False,False
RFC4,4.5417227280501e-05,7.427586948619001e-05,3.2556826300000006e-05,7,0.0004749328479686,1.2200700298918643,True,False,False,False,False
HK3,5.782949723152099e-05,5.832245133718166e-05,-3.541121220000001e-05,7,4.311946183320196e-05,0.7588346315890783,True,False,False,False,False
DLGAP5,4.8783726115077e-05,0.00012245906734399507,2.4106599500000006e-05,7,0.0029600853017872,1.2537671501404926,True,False,False,False,False
IRF7,9.6996954685277e-05,0.00012663285313385317,-4.8159613900000006e-05,7,0.0144886053087066,0.6881356573060743,True,False,False,False,True
NDC80,4.7076582907509995e-05,7.87400844149481e-05,8.854773600000001e-06,7,0.0082011899465131,1.226340222734812,True,False,False,False,False
ZAP70,4.9503107039292e-05,0.00015125435062726434,-3.26032252e-05,7,0.002523809531961,0.7684397570036127,True,False,False,False,False
ATP1B3,4.2194802117595e-05,4.2730787028271776e-05,1.75822293e-05,7,3.172248076135622e-10,1.29872799254436,True,False,False,False,False
SLC22A31,8.9336427097107e-05,0.00013669472549804652,-2.44836936e-05,7,4.665995057656246e-08,0.4486810131953456,True,False,False,False,False
APBB1IP,4.0628371157912996e-05,7.663489595741058e-05,-2.73352813e-05,7,9.794827501585536e-05,0.763155621947773,True,False,False,False,False
ONECUT1,5.0606737913206995e-05,5.29461396260957e-05,4.244138289999999e-05,7,0.001073442166974,0.3347529858175334,True,False,False,True,True
SLCO2B1,3.5653330594699e-05,9.940729045219495e-05,-1.7364879099999998e-05,6,5.01560589407044e-06,0.8283088913391697,True,False,False,False,False
CD6,3.2809499688141e-05,4.729116767498237e-05,-1.5042897500000003e-05,6,0.0030794072810466,0.8081952403105402,True,False,False,False,False
ARRB1,4.7796954328326e-05,0.00010533584953275647,-2.8983552299999998e-05,6,1.8488679371674887e-09,0.704999419544769,True,False,False,False,False
ARHGAP9,3.459682623197699e-05,0.00010412309186052669,-3.1550509200000003e-05,6,0.0001606051607746,0.8071836954960844,True,False,False,False,False
